logs/submit_seed42.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=./data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:20
val_loader:shards pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:22368841
world_size:1 grad_accum_steps:8
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.03 matrix_lr:0.02 scalar_lr:0.02
train_batch_tokens:524288 train_seq_len:2048 iterations:20000 warmup_steps:20 max_wallclock_seconds:600.000
seed:42
warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9299 val_bpb:4.1043 train_time:0ms step_avg:0.02ms
step:1/20000 train_loss:6.9306 train_time:525ms step_avg:525.09ms
step:2/20000 train_loss:8.0582 train_time:1001ms step_avg:500.54ms
step:3/20000 train_loss:7.5639 train_time:1432ms step_avg:477.34ms
step:4/20000 train_loss:7.0121 train_time:1941ms step_avg:485.25ms
step:5/20000 train_loss:6.7724 train_time:2453ms step_avg:490.69ms
step:6/20000 train_loss:6.7501 train_time:2921ms step_avg:486.85ms
step:7/20000 train_loss:6.4738 train_time:3467ms step_avg:495.27ms
step:8/20000 train_loss:6.3645 train_time:3954ms step_avg:494.22ms
step:9/20000 train_loss:6.2677 train_time:4537ms step_avg:504.11ms
step:10/20000 train_loss:6.1083 train_time:5012ms step_avg:501.16ms
step:100/20000 train_loss:3.2132 train_time:47324ms step_avg:473.24ms
step:200/20000 train_loss:2.7013 train_time:93577ms step_avg:467.88ms
step:300/20000 train_loss:2.5235 train_time:141724ms step_avg:472.41ms
step:400/20000 train_loss:2.3020 train_time:190212ms step_avg:475.53ms
step:500/20000 train_loss:2.4103 train_time:238324ms step_avg:476.65ms
step:500/20000 val_loss:2.4032 val_bpb:1.4233 train_time:238325ms step_avg:476.65ms
step:600/20000 train_loss:2.4032 train_time:284613ms step_avg:474.36ms
step:700/20000 train_loss:2.3588 train_time:330122ms step_avg:471.60ms
swa:start step:800
step:800/20000 train_loss:2.2469 train_time:376563ms step_avg:470.70ms
step:900/20000 train_loss:2.2698 train_time:423045ms step_avg:470.05ms
step:1000/20000 train_loss:2.2551 train_time:469417ms step_avg:469.42ms
step:1000/20000 val_loss:2.2232 val_bpb:1.3167 train_time:469637ms step_avg:469.64ms
step:1100/20000 train_loss:2.1657 train_time:516514ms step_avg:469.56ms
step:1200/20000 train_loss:2.1690 train_time:564262ms step_avg:470.22ms
step:1275/20000 val_loss:2.1637 val_bpb:1.2815 train_time:600347ms step_avg:470.86ms
stopping_early: wallclock_cap train_time:600347ms step:1275/20000
peak memory allocated: 11561 MiB reserved: 11710 MiB
swa:applying averaged 5 checkpoints
Serialized model: 87413467 bytes
Code size: 52243 bytes
Total submission size: 87465710 bytes
Serialized model int6+zlib: 16336814 bytes
  sliding_eval [ 50.7%] 491232/969088 windows running_bpb=1.274187
  sliding_eval [ 50.9%] 492832/969088 windows running_bpb=1.274383
  sliding_eval [ 51.0%] 494432/969088 windows running_bpb=1.274530
  sliding_eval [ 51.2%] 496032/969088 windows running_bpb=1.274757
  sliding_eval [ 51.4%] 497632/969088 windows running_bpb=1.274791
  sliding_eval [ 51.5%] 499232/969088 windows running_bpb=1.274858
  sliding_eval [ 51.7%] 500832/969088 windows running_bpb=1.274883
  sliding_eval [ 51.8%] 502432/969088 windows running_bpb=1.274923
  sliding_eval [ 52.0%] 504032/969088 windows running_bpb=1.274993
  sliding_eval [ 52.2%] 505632/969088 windows running_bpb=1.274967
  sliding_eval [ 52.3%] 507232/969088 windows running_bpb=1.274828
  sliding_eval [ 52.5%] 508832/969088 windows running_bpb=1.274934
  sliding_eval [ 52.7%] 510432/969088 windows running_bpb=1.274999
  sliding_eval [ 52.8%] 512032/969088 windows running_bpb=1.275084
  sliding_eval [ 53.0%] 513632/969088 windows running_bpb=1.275193
  sliding_eval [ 53.2%] 515232/969088 windows running_bpb=1.275223
  sliding_eval [ 53.3%] 516832/969088 windows running_bpb=1.275383
  sliding_eval [ 53.5%] 518432/969088 windows running_bpb=1.275331
  sliding_eval [ 53.7%] 520032/969088 windows running_bpb=1.275396
  sliding_eval [ 53.8%] 521632/969088 windows running_bpb=1.275399
  sliding_eval [ 54.0%] 523232/969088 windows running_bpb=1.275639
  sliding_eval [ 54.2%] 524832/969088 windows running_bpb=1.275800
  sliding_eval [ 54.3%] 526432/969088 windows running_bpb=1.275860
  sliding_eval [ 54.5%] 528032/969088 windows running_bpb=1.275999
  sliding_eval [ 54.7%] 529632/969088 windows running_bpb=1.276071
  sliding_eval [ 54.8%] 531232/969088 windows running_bpb=1.276080
  sliding_eval [ 55.0%] 532832/969088 windows running_bpb=1.276315
  sliding_eval [ 55.1%] 534432/969088 windows running_bpb=1.276215
  sliding_eval [ 55.3%] 536032/969088 windows running_bpb=1.276156
  sliding_eval [ 55.5%] 537632/969088 windows running_bpb=1.276180
  sliding_eval [ 55.6%] 539232/969088 windows running_bpb=1.276310
  sliding_eval [ 55.8%] 540832/969088 windows running_bpb=1.276311
  sliding_eval [ 56.0%] 542432/969088 windows running_bpb=1.276252
  sliding_eval [ 56.1%] 544032/969088 windows running_bpb=1.276192
  sliding_eval [ 56.3%] 545632/969088 windows running_bpb=1.276396
  sliding_eval [ 56.5%] 547232/969088 windows running_bpb=1.276507
  sliding_eval [ 56.6%] 548832/969088 windows running_bpb=1.276409
  sliding_eval [ 56.8%] 550432/969088 windows running_bpb=1.276421
  sliding_eval [ 57.0%] 552032/969088 windows running_bpb=1.276499
  sliding_eval [ 57.1%] 553632/969088 windows running_bpb=1.276434
  sliding_eval [ 57.3%] 555232/969088 windows running_bpb=1.276648
  sliding_eval [ 57.5%] 556832/969088 windows running_bpb=1.276739
  sliding_eval [ 57.6%] 558432/969088 windows running_bpb=1.276711
  sliding_eval [ 57.8%] 560032/969088 windows running_bpb=1.276786
  sliding_eval [ 58.0%] 561632/969088 windows running_bpb=1.276920
  sliding_eval [ 58.1%] 563232/969088 windows running_bpb=1.276869
  sliding_eval [ 58.3%] 564832/969088 windows running_bpb=1.276783
  sliding_eval [ 58.5%] 566432/969088 windows running_bpb=1.276777
  sliding_eval [ 58.6%] 568032/969088 windows running_bpb=1.276670
  sliding_eval [ 58.8%] 569632/969088 windows running_bpb=1.276633
  sliding_eval [ 58.9%] 571232/969088 windows running_bpb=1.276611
  sliding_eval [ 59.1%] 572832/969088 windows running_bpb=1.276487
  sliding_eval [ 59.3%] 574432/969088 windows running_bpb=1.276271
  sliding_eval [ 59.4%] 576032/969088 windows running_bpb=1.276167
  sliding_eval [ 59.6%] 577632/969088 windows running_bpb=1.276229
  sliding_eval [ 59.8%] 579232/969088 windows running_bpb=1.276228
  sliding_eval [ 59.9%] 580832/969088 windows running_bpb=1.275990
  sliding_eval [ 60.1%] 582432/969088 windows running_bpb=1.275913
  sliding_eval [ 60.3%] 584032/969088 windows running_bpb=1.275927
  sliding_eval [ 60.4%] 585632/969088 windows running_bpb=1.275937
  sliding_eval [ 60.6%] 587232/969088 windows running_bpb=1.275929
  sliding_eval [ 60.8%] 588832/969088 windows running_bpb=1.275935
  sliding_eval [ 60.9%] 590432/969088 windows running_bpb=1.275883
  sliding_eval [ 61.1%] 592032/969088 windows running_bpb=1.275809
  sliding_eval [ 61.3%] 593632/969088 windows running_bpb=1.275856
  sliding_eval [ 61.4%] 595232/969088 windows running_bpb=1.275795
  sliding_eval [ 61.6%] 596832/969088 windows running_bpb=1.275828
  sliding_eval [ 61.8%] 598432/969088 windows running_bpb=1.275560
  sliding_eval [ 61.9%] 600032/969088 windows running_bpb=1.275496
  sliding_eval [ 62.1%] 601632/969088 windows running_bpb=1.275413
  sliding_eval [ 62.2%] 603232/969088 windows running_bpb=1.275262
  sliding_eval [ 62.4%] 604832/969088 windows running_bpb=1.275222
  sliding_eval [ 62.6%] 606432/969088 windows running_bpb=1.275213
  sliding_eval [ 62.7%] 608032/969088 windows running_bpb=1.275312
  sliding_eval [ 62.9%] 609632/969088 windows running_bpb=1.275330
  sliding_eval [ 63.1%] 611232/969088 windows running_bpb=1.275553
  sliding_eval [ 63.2%] 612832/969088 windows running_bpb=1.275537
  sliding_eval [ 63.4%] 614432/969088 windows running_bpb=1.275514
  sliding_eval [ 63.6%] 616032/969088 windows running_bpb=1.275483
  sliding_eval [ 63.7%] 617632/969088 windows running_bpb=1.275331
  sliding_eval [ 63.9%] 619232/969088 windows running_bpb=1.275078
  sliding_eval [ 64.1%] 620832/969088 windows running_bpb=1.275284
  sliding_eval [ 64.2%] 622432/969088 windows running_bpb=1.275444
  sliding_eval [ 64.4%] 624032/969088 windows running_bpb=1.275585
  sliding_eval [ 64.6%] 625632/969088 windows running_bpb=1.275435
  sliding_eval [ 64.7%] 627232/969088 windows running_bpb=1.275432
  sliding_eval [ 64.9%] 628832/969088 windows running_bpb=1.275388
  sliding_eval [ 65.1%] 630432/969088 windows running_bpb=1.275369
  sliding_eval [ 65.2%] 632032/969088 windows running_bpb=1.275160
  sliding_eval [ 65.4%] 633632/969088 windows running_bpb=1.275074
  sliding_eval [ 65.5%] 635232/969088 windows running_bpb=1.275017
  sliding_eval [ 65.7%] 636832/969088 windows running_bpb=1.274971
  sliding_eval [ 65.9%] 638432/969088 windows running_bpb=1.274816
  sliding_eval [ 66.0%] 640032/969088 windows running_bpb=1.274556
  sliding_eval [ 66.2%] 641632/969088 windows running_bpb=1.274366
  sliding_eval [ 66.4%] 643232/969088 windows running_bpb=1.274286
  sliding_eval [ 66.5%] 644832/969088 windows running_bpb=1.274253
  sliding_eval [ 66.7%] 646432/969088 windows running_bpb=1.274198
  sliding_eval [ 66.9%] 648032/969088 windows running_bpb=1.274174
  sliding_eval [ 67.0%] 649632/969088 windows running_bpb=1.274058
  sliding_eval [ 67.2%] 651232/969088 windows running_bpb=1.273870
  sliding_eval [ 67.4%] 652832/969088 windows running_bpb=1.273750
  sliding_eval [ 67.5%] 654432/969088 windows running_bpb=1.273580
  sliding_eval [ 67.7%] 656032/969088 windows running_bpb=1.273567
  sliding_eval [ 67.9%] 657632/969088 windows running_bpb=1.273479
  sliding_eval [ 68.0%] 659232/969088 windows running_bpb=1.273432
  sliding_eval [ 68.2%] 660832/969088 windows running_bpb=1.273295
  sliding_eval [ 68.4%] 662432/969088 windows running_bpb=1.273288
  sliding_eval [ 68.5%] 664032/969088 windows running_bpb=1.273372
  sliding_eval [ 68.7%] 665632/969088 windows running_bpb=1.273219
  sliding_eval [ 68.9%] 667232/969088 windows running_bpb=1.273123
  sliding_eval [ 69.0%] 668832/969088 windows running_bpb=1.273113
  sliding_eval [ 69.2%] 670432/969088 windows running_bpb=1.272936
  sliding_eval [ 69.3%] 672032/969088 windows running_bpb=1.272814
  sliding_eval [ 69.5%] 673632/969088 windows running_bpb=1.272771
  sliding_eval [ 69.7%] 675232/969088 windows running_bpb=1.272601
  sliding_eval [ 69.8%] 676832/969088 windows running_bpb=1.272473
  sliding_eval [ 70.0%] 678432/969088 windows running_bpb=1.272365
  sliding_eval [ 70.2%] 680032/969088 windows running_bpb=1.272304
  sliding_eval [ 70.3%] 681632/969088 windows running_bpb=1.272272
  sliding_eval [ 70.5%] 683232/969088 windows running_bpb=1.272211
  sliding_eval [ 70.7%] 684832/969088 windows running_bpb=1.272079
  sliding_eval [ 70.8%] 686432/969088 windows running_bpb=1.272096
  sliding_eval [ 71.0%] 688032/969088 windows running_bpb=1.272094
  sliding_eval [ 71.2%] 689632/969088 windows running_bpb=1.272001
  sliding_eval [ 71.3%] 691232/969088 windows running_bpb=1.271969
  sliding_eval [ 71.5%] 692832/969088 windows running_bpb=1.271978
  sliding_eval [ 71.7%] 694432/969088 windows running_bpb=1.272027
  sliding_eval [ 71.8%] 696032/969088 windows running_bpb=1.272103
  sliding_eval [ 72.0%] 697632/969088 windows running_bpb=1.272142
  sliding_eval [ 72.2%] 699232/969088 windows running_bpb=1.272337
  sliding_eval [ 72.3%] 700832/969088 windows running_bpb=1.272312
  sliding_eval [ 72.5%] 702432/969088 windows running_bpb=1.272393
  sliding_eval [ 72.6%] 704032/969088 windows running_bpb=1.272467
  sliding_eval [ 72.8%] 705632/969088 windows running_bpb=1.272626
  sliding_eval [ 73.0%] 707232/969088 windows running_bpb=1.272644
  sliding_eval [ 73.1%] 708832/969088 windows running_bpb=1.272758
  sliding_eval [ 73.3%] 710432/969088 windows running_bpb=1.272677
  sliding_eval [ 73.5%] 712032/969088 windows running_bpb=1.272413
  sliding_eval [ 73.6%] 713632/969088 windows running_bpb=1.272524
  sliding_eval [ 73.8%] 715232/969088 windows running_bpb=1.272355
  sliding_eval [ 74.0%] 716832/969088 windows running_bpb=1.272449
  sliding_eval [ 74.1%] 718432/969088 windows running_bpb=1.272461
  sliding_eval [ 74.3%] 720032/969088 windows running_bpb=1.272555
  sliding_eval [ 74.5%] 721632/969088 windows running_bpb=1.272663
  sliding_eval [ 74.6%] 723232/969088 windows running_bpb=1.272626
  sliding_eval [ 74.8%] 724832/969088 windows running_bpb=1.272685
  sliding_eval [ 75.0%] 726432/969088 windows running_bpb=1.272686
  sliding_eval [ 75.1%] 728032/969088 windows running_bpb=1.272689
  sliding_eval [ 75.3%] 729632/969088 windows running_bpb=1.272629
  sliding_eval [ 75.5%] 731232/969088 windows running_bpb=1.272596
  sliding_eval [ 75.6%] 732832/969088 windows running_bpb=1.272653
  sliding_eval [ 75.8%] 734432/969088 windows running_bpb=1.272765
  sliding_eval [ 76.0%] 736032/969088 windows running_bpb=1.272924
  sliding_eval [ 76.1%] 737632/969088 windows running_bpb=1.273146
  sliding_eval [ 76.3%] 739232/969088 windows running_bpb=1.273162
  sliding_eval [ 76.4%] 740832/969088 windows running_bpb=1.273116
  sliding_eval [ 76.6%] 742432/969088 windows running_bpb=1.273081
  sliding_eval [ 76.8%] 744032/969088 windows running_bpb=1.273055
  sliding_eval [ 76.9%] 745632/969088 windows running_bpb=1.272955
  sliding_eval [ 77.1%] 747232/969088 windows running_bpb=1.272992
  sliding_eval [ 77.3%] 748832/969088 windows running_bpb=1.273022
  sliding_eval [ 77.4%] 750432/969088 windows running_bpb=1.273077
  sliding_eval [ 77.6%] 752032/969088 windows running_bpb=1.273548
  sliding_eval [ 77.8%] 753632/969088 windows running_bpb=1.273638
  sliding_eval [ 77.9%] 755232/969088 windows running_bpb=1.273631
  sliding_eval [ 78.1%] 756832/969088 windows running_bpb=1.273553
  sliding_eval [ 78.3%] 758432/969088 windows running_bpb=1.273536
  sliding_eval [ 78.4%] 760032/969088 windows running_bpb=1.273826
  sliding_eval [ 78.6%] 761632/969088 windows running_bpb=1.273930
  sliding_eval [ 78.8%] 763232/969088 windows running_bpb=1.273916
  sliding_eval [ 78.9%] 764832/969088 windows running_bpb=1.273973
  sliding_eval [ 79.1%] 766432/969088 windows running_bpb=1.273937
  sliding_eval [ 79.3%] 768032/969088 windows running_bpb=1.273949
  sliding_eval [ 79.4%] 769632/969088 windows running_bpb=1.273985
  sliding_eval [ 79.6%] 771232/969088 windows running_bpb=1.274050
  sliding_eval [ 79.7%] 772832/969088 windows running_bpb=1.274012
  sliding_eval [ 79.9%] 774432/969088 windows running_bpb=1.273964
  sliding_eval [ 80.1%] 776032/969088 windows running_bpb=1.273984
  sliding_eval [ 80.2%] 777632/969088 windows running_bpb=1.274138
  sliding_eval [ 80.4%] 779232/969088 windows running_bpb=1.274150
  sliding_eval [ 80.6%] 780832/969088 windows running_bpb=1.274180
  sliding_eval [ 80.7%] 782432/969088 windows running_bpb=1.274391
  sliding_eval [ 80.9%] 784032/969088 windows running_bpb=1.274402
  sliding_eval [ 81.1%] 785632/969088 windows running_bpb=1.274322
  sliding_eval [ 81.2%] 787232/969088 windows running_bpb=1.274329
  sliding_eval [ 81.4%] 788832/969088 windows running_bpb=1.274465
  sliding_eval [ 81.6%] 790432/969088 windows running_bpb=1.274499
  sliding_eval [ 81.7%] 792032/969088 windows running_bpb=1.274621
  sliding_eval [ 81.9%] 793632/969088 windows running_bpb=1.274691
  sliding_eval [ 82.1%] 795232/969088 windows running_bpb=1.274708
  sliding_eval [ 82.2%] 796832/969088 windows running_bpb=1.274759
  sliding_eval [ 82.4%] 798432/969088 windows running_bpb=1.274775
  sliding_eval [ 82.6%] 800032/969088 windows running_bpb=1.274866
  sliding_eval [ 82.7%] 801632/969088 windows running_bpb=1.274918
  sliding_eval [ 82.9%] 803232/969088 windows running_bpb=1.274903
  sliding_eval [ 83.1%] 804832/969088 windows running_bpb=1.274966
  sliding_eval [ 83.2%] 806432/969088 windows running_bpb=1.274968
  sliding_eval [ 83.4%] 808032/969088 windows running_bpb=1.275080
  sliding_eval [ 83.5%] 809632/969088 windows running_bpb=1.275140
  sliding_eval [ 83.7%] 811232/969088 windows running_bpb=1.275236
  sliding_eval [ 83.9%] 812832/969088 windows running_bpb=1.275179
  sliding_eval [ 84.0%] 814432/969088 windows running_bpb=1.275161
  sliding_eval [ 84.2%] 816032/969088 windows running_bpb=1.275221
  sliding_eval [ 84.4%] 817632/969088 windows running_bpb=1.275304
  sliding_eval [ 84.5%] 819232/969088 windows running_bpb=1.275283
  sliding_eval [ 84.7%] 820832/969088 windows running_bpb=1.275293
  sliding_eval [ 84.9%] 822432/969088 windows running_bpb=1.275374
  sliding_eval [ 85.0%] 824032/969088 windows running_bpb=1.275435
  sliding_eval [ 85.2%] 825632/969088 windows running_bpb=1.275518
  sliding_eval [ 85.4%] 827232/969088 windows running_bpb=1.275541
  sliding_eval [ 85.5%] 828832/969088 windows running_bpb=1.275444
  sliding_eval [ 85.7%] 830432/969088 windows running_bpb=1.275318
  sliding_eval [ 85.9%] 832032/969088 windows running_bpb=1.275363
  sliding_eval [ 86.0%] 833632/969088 windows running_bpb=1.275420
  sliding_eval [ 86.2%] 835232/969088 windows running_bpb=1.275357
  sliding_eval [ 86.4%] 836832/969088 windows running_bpb=1.275295
  sliding_eval [ 86.5%] 838432/969088 windows running_bpb=1.275381
  sliding_eval [ 86.7%] 840032/969088 windows running_bpb=1.275377
  sliding_eval [ 86.8%] 841632/969088 windows running_bpb=1.275468
  sliding_eval [ 87.0%] 843232/969088 windows running_bpb=1.275506
  sliding_eval [ 87.2%] 844832/969088 windows running_bpb=1.275377
  sliding_eval [ 87.3%] 846432/969088 windows running_bpb=1.275541
  sliding_eval [ 87.5%] 848032/969088 windows running_bpb=1.275595
  sliding_eval [ 87.7%] 849632/969088 windows running_bpb=1.275579
  sliding_eval [ 87.8%] 851232/969088 windows running_bpb=1.275573
  sliding_eval [ 88.0%] 852832/969088 windows running_bpb=1.275653
  sliding_eval [ 88.2%] 854432/969088 windows running_bpb=1.275728
  sliding_eval [ 88.3%] 856032/969088 windows running_bpb=1.275733
  sliding_eval [ 88.5%] 857632/969088 windows running_bpb=1.275773
  sliding_eval [ 88.7%] 859232/969088 windows running_bpb=1.275738
  sliding_eval [ 88.8%] 860832/969088 windows running_bpb=1.275881
  sliding_eval [ 89.0%] 862432/969088 windows running_bpb=1.275865
  sliding_eval [ 89.2%] 864032/969088 windows running_bpb=1.275864
  sliding_eval [ 89.3%] 865632/969088 windows running_bpb=1.275955
  sliding_eval [ 89.5%] 867232/969088 windows running_bpb=1.275956
  sliding_eval [ 89.7%] 868832/969088 windows running_bpb=1.275892
  sliding_eval [ 89.8%] 870432/969088 windows running_bpb=1.276058
  sliding_eval [ 90.0%] 872032/969088 windows running_bpb=1.276067
  sliding_eval [ 90.1%] 873632/969088 windows running_bpb=1.276065
  sliding_eval [ 90.3%] 875232/969088 windows running_bpb=1.276089
  sliding_eval [ 90.5%] 876832/969088 windows running_bpb=1.275930
  sliding_eval [ 90.6%] 878432/969088 windows running_bpb=1.275923
  sliding_eval [ 90.8%] 880032/969088 windows running_bpb=1.275883
  sliding_eval [ 91.0%] 881632/969088 windows running_bpb=1.275894
  sliding_eval [ 91.1%] 883232/969088 windows running_bpb=1.275896
  sliding_eval [ 91.3%] 884832/969088 windows running_bpb=1.275932
  sliding_eval [ 91.5%] 886432/969088 windows running_bpb=1.275937
  sliding_eval [ 91.6%] 888032/969088 windows running_bpb=1.275883
  sliding_eval [ 91.8%] 889632/969088 windows running_bpb=1.275802
  sliding_eval [ 92.0%] 891232/969088 windows running_bpb=1.275676
  sliding_eval [ 92.1%] 892832/969088 windows running_bpb=1.275612
  sliding_eval [ 92.3%] 894432/969088 windows running_bpb=1.275579
  sliding_eval [ 92.5%] 896032/969088 windows running_bpb=1.275481
  sliding_eval [ 92.6%] 897632/969088 windows running_bpb=1.275526
  sliding_eval [ 92.8%] 899232/969088 windows running_bpb=1.275552
  sliding_eval [ 93.0%] 900832/969088 windows running_bpb=1.275509
  sliding_eval [ 93.1%] 902432/969088 windows running_bpb=1.275489
  sliding_eval [ 93.3%] 904032/969088 windows running_bpb=1.275474
  sliding_eval [ 93.5%] 905632/969088 windows running_bpb=1.275440
  sliding_eval [ 93.6%] 907232/969088 windows running_bpb=1.275480
  sliding_eval [ 93.8%] 908832/969088 windows running_bpb=1.275399
  sliding_eval [ 93.9%] 910432/969088 windows running_bpb=1.275358
  sliding_eval [ 94.1%] 912032/969088 windows running_bpb=1.275327
  sliding_eval [ 94.3%] 913632/969088 windows running_bpb=1.275158
  sliding_eval [ 94.4%] 915232/969088 windows running_bpb=1.275016
  sliding_eval [ 94.6%] 916832/969088 windows running_bpb=1.274987
  sliding_eval [ 94.8%] 918432/969088 windows running_bpb=1.274940
  sliding_eval [ 94.9%] 920032/969088 windows running_bpb=1.274925
  sliding_eval [ 95.1%] 921632/969088 windows running_bpb=1.274931
  sliding_eval [ 95.3%] 923232/969088 windows running_bpb=1.274897
  sliding_eval [ 95.4%] 924832/969088 windows running_bpb=1.274852
  sliding_eval [ 95.6%] 926432/969088 windows running_bpb=1.274830
  sliding_eval [ 95.8%] 928032/969088 windows running_bpb=1.274856
  sliding_eval [ 95.9%] 929632/969088 windows running_bpb=1.274925
  sliding_eval [ 96.1%] 931232/969088 windows running_bpb=1.274888
  sliding_eval [ 96.3%] 932832/969088 windows running_bpb=1.274801
  sliding_eval [ 96.4%] 934432/969088 windows running_bpb=1.274737
  sliding_eval [ 96.6%] 936032/969088 windows running_bpb=1.274675
  sliding_eval [ 96.8%] 937632/969088 windows running_bpb=1.274640
  sliding_eval [ 96.9%] 939232/969088 windows running_bpb=1.274845
  sliding_eval [ 97.1%] 940832/969088 windows running_bpb=1.274745
  sliding_eval [ 97.2%] 942432/969088 windows running_bpb=1.274678
  sliding_eval [ 97.4%] 944032/969088 windows running_bpb=1.274561
  sliding_eval [ 97.6%] 945632/969088 windows running_bpb=1.274459
  sliding_eval [ 97.7%] 947232/969088 windows running_bpb=1.274448
  sliding_eval [ 97.9%] 948832/969088 windows running_bpb=1.274410
  sliding_eval [ 98.1%] 950432/969088 windows running_bpb=1.274381
  sliding_eval [ 98.2%] 952032/969088 windows running_bpb=1.274321
  sliding_eval [ 98.4%] 953632/969088 windows running_bpb=1.274326
  sliding_eval [ 98.6%] 955232/969088 windows running_bpb=1.274311
  sliding_eval [ 98.7%] 956832/969088 windows running_bpb=1.274301
  sliding_eval [ 98.9%] 958432/969088 windows running_bpb=1.274280
  sliding_eval [ 99.1%] 960032/969088 windows running_bpb=1.274181
  sliding_eval [ 99.2%] 961632/969088 windows running_bpb=1.274049
  sliding_eval [ 99.4%] 963232/969088 windows running_bpb=1.273993
  sliding_eval [ 99.6%] 964832/969088 windows running_bpb=1.273992
  sliding_eval [ 99.7%] 966432/969088 windows running_bpb=1.273912
  sliding_eval [ 99.9%] 968032/969088 windows running_bpb=1.273987
final_int8_zlib_roundtrip val_loss:2.1511 val_bpb:1.2740 eval_time:1231080ms
final_int8_zlib_roundtrip_exact val_loss:2.15112641 val_bpb:1.27402160
